name,pos,hand len,hand wid,ht,wt,wingspan
Terance Mann,SG-SF,9.50,9.25,76.75,204.6,79.75
Cody Martin,PG-SG,8.25,9.00,76.75,192.2,82.25
Charles Matthews,SG,8.50,8.75,77.0,194.8,81.5
Jalen McDaniels,SF,9.00,10.00,80.25,191.6,84.25
Zach Norvell Jr.,SG,8.50,9.50,76.5,206.4,78.0
Jaylen Nowell,SG,8.25,8.50,75.25,202.4,79.25
Jordan Nwora,PF,8.50,9.25,77.75,220.0,82.5
KZ Okpala,SF,9.25,9.25,79.25,209.6,85.75
Miye Oni,SG,9.00,10.00,76.25,205.6,82.75
Eric Paschall,SF,9.00,9.50,78.0,254.4,83.75
Reggie Perry,SF-PF,9.00,10.00,80.0,250.8,84.5
Shamorie Ponds,PG,7.75,8.00,71.5,180.0,75.5
Jordan Poole,SG,8.25,8.50,75.5,190.8,78.75
Jontay Porter,PF,8.75,9.50,81.75,210.4,84.0
Kevin Porter Jr.,SG,8.75,8.75,76.0,212.6,81.0
Neemias Queta,C,9.50,11.00,82.75,225.8,88.25
Cameron Reddish,SF,9.00,9.00,78.5,207.8,84.5
Naz Reid,PF,9.50,9.25,80.75,255.8,87.25
Isaiah Roby,PF,9.00,10.50,79.25,214.0,85.0
Luka Samanic,PF,8.50,9.00,81.5,227.2,82.5
Admiral Schofield,SF,8.75,9.00,76.0,240.6,81.75
Marial Shayok,SF-PF,8.75,9.25,76.5,196.8,84.25
Simisola Shittu,PF,8.75,8.50,80.5,227.2,85.25
P.J. Washington,PF,9.00,10.25,78.5,230.4,86.25
Tremont Waters,PG,8.00,9.75,69.5,172.4,74.25
Quinndary Weatherspoon,SG,8.50,9.00,75.0,206.6,81.0
Coby White,PG,7.75,9.00,75.5,191.4,77.0
Kris Wilkes,SF,8.50,9.50,78.25,208.8,82.75
Grant Williams,PF,9.00,10.50,77.75,240.2,81.75
Dylan Windler,SF,8.25,9.50,78.25,195.8,82.0
Rawle Alkins,SG,8.50,10.00,74.75,217.4,80.75
Grayson Allen,SG,8.25,10.00,75.0,198.0,79.25
Kostas Antetokounmpo,PF,9.25,9.50,81.0,194.8,86.25
Udoka Azubuike,C,9.50,10.00,82.0,273.8,91.0
Mohamed Bamba,C,9.75,10.25,83.25,225.6,94.0
Jaylen Barford,PG-SG,8.00,8.25,73.25,207.6,75.5
Keita Bates-Diop,SG-SF,9.00,8.50,79.25,223.8,87.25
Tyus Battle,SG,8.50,9.25,77.0,200.2,81.0
Brian Bowen,SG-SF,9.00,10.00,78.25,202.0,82.25
Miles Bridges,SF,9.00,9.75,77.25,220.4,81.5
Bruce Brown,SG-PG,8.50,8.50,75.5,194.6,81.0
Troy Brown,SF,9.00,9.75,77.75,208.0,82.25
Jalen Brunson,PG,8.25,9.25,73.0,198.4,76.0
Tony Carr,PG,8.50,9.75,75.0,198.8,80.25
Jevon Carter,PG,9.25,8.50,72.25,196.2,76.25
Wendell Carter,C-PF,8.50,9.00,80.75,251.4,88.5
Donte DiVincenzo,SG,8.25,9.00,75.5,200.6,78.0
Hamidou Diallo,SG,8.75,9.00,76.25,197.0,83.5
Trevon Duval,PG,8.75,10.00,73.5,191.0,80.25
Carsen Edwards,PG,8.50,9.25,70.75,195.6,78.25
Jacob Evans,SG-SF,9.00,9.25,76.25,199.6,81.25
Keenan Evans,PG,8.50,8.00,73.5,183.2,77.25
Bruno Fernando,C,9.50,10.00,80.75,233.2,88.25
