name,pos,hand len,hand wid,ht,wt,wingspan
Brandon Davies,PF,9.00,11.00,80.5,241.8,85.5
Dewayne Dedmon,C,9.00,11.00,82.0,238.8,88.0
Gorgui Dieng,C,9.00,10.00,81.75,229.6,87.5
James Ennis,SF,8.50,8.75,77.75,200.8,83.5
Carrick Felix,SF-SG,8.50,9.50,76.75,202.6,81.25
Jamaal Franklin,SG-SF,8.50,8.25,76.0,190.8,83.25
Rudy Gobert,C,9.75,10.00,84.5,237.6,92.5
Archie Goodwin,SG,8.50,9.00,75.75,189.0,81.5
Erick Green,PG,8.50,9.00,73.5,178.2,77.75
Tim Hardaway Jr.,SG,8.00,9.25,76.5,199.4,79.0
Solomon Hill,SF,9.00,10.50,77.5,226.0,81.0
Richard Howell,PF,8.75,9.50,78.25,249.6,82.25
Colton Iverson,C,9.25,9.50,82.5,262.8,86.0
Pierre Jackson,PG,7.50,8.25,69.5,176.0,70.0
Grant Jerrett,PF,8.50,9.25,80.75,232.0,86.0
Myck Kabongo,PG,8.25,9.00,73.25,180.4,78.25
Kenny Kadji,PF-C,9.00,10.25,80.75,241.6,87.0
Ryan Kelly,PF,9.00,10.00,81.75,228.0,83.5
Shane Larkin,PG,7.50,8.75,70.25,170.8,70.75
Ricky Ledo,SG,8.50,9.25,76.75,197.2,79.25
CJ Leslie,PF-SF,8.75,9.00,79.5,209.2,86.25
Trevor Mbakwe,PF,9.50,11.50,78.75,235.8,88.0
Ray McCallum,PG,8.00,8.75,72.25,191.4,75.25
CJ McCollum,PG-SG,8.00,9.50,74.25,197.0,78.25
Ben McLemore,SG,8.75,9.50,75.5,189.2,79.75
Tony Mitchell,PF-SF,9.00,10.00,79.5,236.4,86.5
Shabazz Muhammad,SF-SG,9.00,10.00,76.75,221.8,83.0
Erik Murphy,PF,8.75,9.75,80.75,239.8,82.5
Mike Muscala,C-PF,8.50,9.00,82.25,230.2,85.0
Nerlens Noel,C,9.50,10.00,82.0,206.4,87.75
Victor Oladipo,SG,8.75,9.25,75.25,213.2,81.25
Kelly Olynyk,PF-C,8.50,10.00,82.75,234.0,81.75
Brandon Paul,SG,8.50,9.50,74.75,201.0,82.25
Norvel Pelle,PF-C,8.75,9.50,81.5,207.2,86.5
Mason Plumlee,C-PF,9.75,9.50,83.25,238.2,83.0
Otto Porter,SF,8.75,9.25,79.5,197.6,85.5
Phil Pressey,PG,7.75,9.75,69.5,177.0,74.25
Glen Rice,SF-SG,8.50,9.00,76.5,210.8,81.25
Andre Roberson,PF-SF,8.75,9.50,78.25,205.8,83.0
Dennis Schroder,PG,8.75,10.50,73.0,164.8,79.75
Peyton Siva,PG,8.00,9.75,71.5,180.6,75.0
Tony Snell,SF-SG,9.00,9.50,78.0,198.2,83.5
James Southerland,SF-PF,8.00,9.50,79.0,220.6,85.0
Deshaun Thomas,SF,8.00,8.75,77.0,219.8,82.0
Adonis Thomas,SF,9.25,9.50,76.75,231.8,85.0
Jeff Withey,C,9.00,9.75,82.75,221.8,86.0
Nate Wolters,PG,8.25,8.75,75.5,196.4,75.75
BJ Young,SG-PG,8.50,9.50,74.25,178.8,80.25
Cody Zeller,C-PF,8.50,10.50,82.75,230.0,82.75
Quincy Acy,PF,9.50,11.00,78.5,223.8,86.75
Harrison Barnes,SF-SG,9.00,8.50,79.0,227.8,83.25
Will Barton,SG-SF,9.00,9.50,77.0,174.4,81.75
Bradley Beal,SG,8.50,9.00,75.25,201.8,80.0
J'Covan Brown,PG,7.75,8.25,73.0,202.4,77.25
William Buford,SG-SF,8.75,10.00,76.0,214.6,81.5
Jae Crowder,SF,9.50,10.50,76.75,241.2,81.25
Jared Cunningham,SG-PG,8.25,9.00,75.5,187.6,78.5
Anthony Davis,PF-C,9.00,8.50,81.25,221.8,89.5
Marcus Denmon,SG,8.25,9.75,74.25,188.2,77.0
Andre Drummond,C,9.50,9.50,81.75,278.6,90.25
Kim English,SG,8.50,8.75,76.5,192.0,78.5
Festus Ezeli,C-PF,9.00,10.75,81.75,264.2,89.75
Drew Gordon,PF,8.50,9.75,80.0,239.0,83.5
JaMychal Green,PF,9.25,9.25,80.0,217.4,86.25
Draymond Green,PF-SF,9.00,9.50,77.75,235.6,85.25
Maurice Harkless,SF,9.25,10.25,79.25,206.6,84.0
John Henson,PF,9.25,10.00,81.0,216.0,89.0
Tu Holloway,PG,8.75,10.00,70.5,186.8,77.5
Robbie Hummel,SF,8.50,9.50,79.25,218.0,80.5
Bernard James,PF,9.00,9.25,80.75,229.8,87.0
John Jenkins,SG,9.00,9.00,75.25,212.0,80.5
Orlando Johnson,SG,9.00,9.50,75.75,223.8,83.25
Darius Johnson-Odom,SG,8.75,8.75,73.5,212.0,79.0
Terrence Jones,PF-SF,9.00,10.00,80.25,252.0,86.25
Perry Jones,PF-SF,9.25,9.50,82.25,233.8,85.75
Kevin Jones,PF,9.00,7.75,78.25,251.2,85.5
Kris Joseph,SG,9.00,9.00,78.0,215.0,83.0
Michael Kidd-Gilchrist,SF,9.00,10.25,77.75,232.8,84.0
Jeremy Lamb,SG,8.75,9.25,76.0,179.2,83.0
Doron Lamb,SG-PG,8.50,8.75,75.25,199.4,78.75
Meyers Leonard,C,9.25,11.00,83.75,249.8,87.0
Damian Lillard,PG,8.75,9.75,73.75,188.8,79.75
Scott Machado,PG,8.50,9.50,73.0,205.8,76.0
Kendall Marshall,PG,8.50,9.00,75.25,198.4,77.5
Fab Melo,C,9.00,10.00,82.75,255.0,86.5
Khris Middleton,SF,9.00,9.00,78.75,216.2,82.75
Darius Miller,SF-SG,8.50,8.75,78.0,233.4,81.0
Quincy Miller,SF,9.25,10.25,80.75,218.7,85.25
Tony Mitchell,SG,8.50,10.00,77.25,216.4,82.0
Arnett Moultrie,PF,9.25,9.25,81.5,232.8,86.25
Kevin Murphy,SG,8.50,8.50,77.0,194.0,78.75
Andrew Nicholson,PF,10.00,10.75,80.5,234.0,88.0
Kyle O'Quinn,PF,9.50,10.00,80.5,240.8,88.75
Miles Plumlee,PF-C,9.25,9.00,82.5,252.4,84.75
Austin Rivers,SG-PG,8.50,10.00,75.5,202.8,79.25
Thomas Robinson,PF,9.75,10.50,79.75,244.2,87.25
Terrence Ross,SG-SF,8.75,10.25,78.0,196.6,79.25
Tomas Satoransky,PG-SG,8.50,9.50,78.5,200.6,79.25
Mike Scott,PF,8.50,9.00,79.25,240.8,82.75
Henry Sims,C-PF,9.25,10.00,82.0,241.2,88.0
Jared Sullinger,PF,9.25,9.75,79.75,268.2,85.25
Jeff Taylor,SF-SG,8.25,9.75,78.0,212.8,78.25
Tyshawn Taylor,PG,8.75,8.75,74.75,177.0,78.25
Jordan Taylor,PG,8.25,9.50,73.0,192.8,75.0
Marquis Teague,PG,8.25,7.75,73.0,179.8,79.25
Hollis Thompson,SF,8.25,9.75,78.75,206.0,81.5
Dion Waiters,SG,8.50,9.50,74.5,221.0,79.25
Royce White,PF,9.50,11.50,79.0,260.6,84.0
Tony Wroten,PG,8.00,9.00,76.75,203.2,81.0
Tyler Zeller,PF-C,9.00,9.75,83.25,247.4,84.0
Keith Benson,C-PF,9.50,11.00,82.0,217.0,87.75
Marshon Brooks,SG,9.00,10.50,76.25,194.6,85.0
Alec Burks,SG,9.00,8.25,77.0,192.6,82.0
Jimmy Butler,SF,9.00,9.00,78.0,222.2,79.5
Norris Cole,PG,8.50,9.50,72.25,174.4,74.25
Jon Diebler,SG,8.25,8.25,77.25,196.6,78.0
Michael Dunigan,PF-C,9.00,10.75,80.5,237.6,87.25
LaceDarius Dunn,SG,9.00,10.25,75.0,187.8,78.25
Kenneth Faried,PF,8.50,10.25,78.0,224.6,84.0
James Fredette,PG,8.00,8.50,72.75,196.0,76.5
Andrew Goudelock,PG,8.25,9.25,73.25,197.6,76.25
Jordan Hamilton,SF,9.00,9.25,78.75,228.4,81.5
Justin Harper,PF-SF,9.00,9.25,80.0,228.0,83.75
Tobias Harris,SF-PF,8.75,9.00,78.5,222.8,83.0
Tyler Honeycutt,SF,8.50,9.50,78.75,186.8,81.0
Scotty Hopson,SG,8.50,10.00,77.75,204.6,82.5
Kyrie Irving,PG,8.25,9.25,73.75,191.0,76.0
Rick Jackson,PF,8.75,9.50,80.25,241.8,86.0
Charles Jenkins,PG-SG,8.50,9.00,73.5,216.4,79.5
JaJuan Johnson,PF,9.00,10.00,81.0,219.8,86.0
Cory Joseph,PG,8.50,10.50,74.0,186.2,77.5
Enes Kanter,PF-C,9.50,10.75,81.75,259.2,85.5
Brandon Knight,PG,8.25,9.50,73.5,176.8,78.75
Malcolm Lee,SG,8.50,9.50,76.0,198.2,81.75
Kawhi Leonard,SF,9.75,11.25,78.0,227.4,87.0
Travis Leslie,SG,8.75,9.25,75.0,205.0,82.5
Jon Leuer,PF,8.75,9.75,82.0,223.2,84.0
DeAndre Liggins,SF-SG,8.75,10.00,77.0,202.2,83.0
David Lighty,SG,9.00,10.00,76.75,216.2,80.0
Shelvin Mack,PG,8.25,9.25,73.0,209.0,79.5
Demetri McCamey,PG,8.50,9.00,73.75,204.0,78.25
E'Twaun Moore,SG,9.00,10.00,74.5,191.4,81.5
Markieff Morris,PF,8.50,8.25,79.75,240.8,82.75
Marcus Morris,PF-SF,8.25,8.50,79.0,229.6,82.0
Darius Morris,PG-SG,8.75,10.00,75.25,190.0,79.5
Chandler Parsons,SF,8.25,10.00,80.75,221.2,81.5
Jereme Richmond,SF,8.75,9.50,78.0,207.2,82.25
Josh Selby,SG-PG,8.50,9.00,73.75,194.6,77.25
Iman Shumpert,PG-SG,9.00,9.00,76.25,221.8,81.5
Kyle Singler,SF,8.25,8.75,79.5,228.0,82.1
Chris Singleton,SF,9.25,10.00,79.75,230.2,85.0
Jamie Skeen,PF,8.50,8.50,78.5,241.6,85.25
Gregory Smith,PF-C,9.75,12.00,80.0,252.8,86.5
Nolan Smith,PG,8.50,9.25,73.5,187.6,77.5
Malcolm Thomas,PF,9.50,10.50,79.5,223.0,84.5
Isaiah Thomas,PG,8.25,9.00,68.75,186.0,73.75
Trey Thompkins,PF,9.25,9.75,80.5,239.0,85.0
Klay Thompson,SG,8.75,9.25,77.75,205.6,81.0
Tristan Thompson,PF,8.75,9.25,79.5,227.4,85.25
Jeremy Tyler,PF-C,9.25,9.00,81.0,262.4,89.0
Nikola Vucevic,PF-C,9.25,10.25,82.25,259.8,88.5
Kemba Walker,PG,8.00,9.00,71.5,184.0,75.5
Derrick Williams,PF-SF,9.00,9.75,79.25,248.4,85.5
Jordan Williams,PF,9.25,10.00,79.75,247.2,84.25
Solomon Alabi,C,9.25,9.25,83.5,237.4,89.0
Cole Aldrich,C,9.00,9.25,81.0,236.0,88.75
Al-Farouq Aminu,SF,9.50,9.50,79.25,216.0,87.25
James Anderson,SF,8.50,7.25,76.75,207.6,80.5
Luke Babbitt,SF-PF,8.50,10.00,79.5,217.8,83.25
Eric Bledsoe,PG,8.50,9.75,72.25,191.6,79.5
Trevor Booker,PF,9.00,9.50,78.25,235.8,81.75
Craig Brackins,PF-SF,9.50,11.25,80.5,229.0,84.0
Avery Bradley,SG-PG,8.25,9.50,74.0,180.4,79.25
Derrick Caracter,PF,9.00,10.25,80.25,280.0,84.25
Sherron Collins,PG,8.50,9.50,70.25,217.2,74.5
DeMarcus Cousins,C,9.25,10.00,81.5,291.8,89.75
Jordan Crawford,SG,8.00,9.00,75.0,198.4,79.0
Ed Davis,PF,9.25,10.00,81.0,226.6,84.0
Devin Ebanks,SF,8.25,9.00,79.0,207.8,84.25
Derrick Favors,PF,8.75,9.25,80.75,245.2,88.0
Keith Gallon,PF-C,9.25,10.50,80.5,301.8,88.5
Charles Garcia,SF,8.75,9.00,80.25,231.6,85.75
Paul George,SF,8.50,9.00,79.75,214.4,83.25
Luke Harangody,PF,8.75,9.75,78.0,240.2,81.5
Manny Harris,SG,8.50,9.00,76.0,185.1,79.25
Gordon Hayward,SF,8.50,9.25,78.75,211.0,79.75
Lazar Hayward,SG-SF,9.25,9.50,76.5,225.8,84.75
Xavier Henry,SG,8.75,10.00,77.25,210.2,83.25
Darington Hobson,SG-SF,8.25,9.00,77.25,203.6,81.25
Damion James,SF,9.25,8.50,78.25,226.6,84.75
Armon Johnson,PG-SG,8.25,9.25,74.0,195.2,80.0
Wesley Johnson,SF,9.00,9.50,78.25,206.4,85.0
Dominique Jones,SG,9.00,10.25,75.25,216.0,81.25
Jerome Jordan,C,9.00,10.25,83.5,244.2,89.25
Sylven Landesberg,SG,8.75,10.75,76.75,210.0,81.0
Gani Lawal,PF,8.50,10.00,79.5,233.4,84.0
Greg Monroe,PF-C,8.75,9.50,81.75,246.6,86.25
Daniel Orton,C,8.50,9.75,80.75,269.2,88.25
Artsiom Parakhouski,C,9.00,10.50,82.25,268.2,85.0
Patrick Patterson,PF,9.25,10.25,80.0,239.6,85.25
Dexter Pittman,PF-C,10.25,10.50,81.5,302.6,90.0
Andy Rautins,SG,8.00,9.75,76.25,191.6,79.0
Ryan Richards,PF,9.00,9.75,82.5,230.2,85.5
Stanley Robinson,SF,9.00,9.00,78.5,213.2,84.0
Larry Sanders,PF-C,9.75,11.00,81.25,222.4,89.75
Jon Scheyer,PG-SG,7.75,9.50,76.75,180.0,75.25
Lance Stephenson,SG,9.00,10.25,76.5,227.0,82.5
Mikhail Torrance,PG,8.75,9.50,76.0,208.8,79.5
Evan Turner,SG,8.75,9.50,77.75,213.8,80.0
Ekpe Udoh,PF,9.50,8.75,80.75,237.4,88.5
Jarvis Varnado,PF-C,9.25,9.50,80.25,210.2,87.5
Greivis Vasquez,PG-SG,7.75,9.25,77.0,210.8,79.0
John Wall,PG,8.25,9.50,74.75,195.6,81.25
Willie Warren,SG-PG,8.50,9.50,74.5,208.4,78.0
Terrico White,SG-PG,9.00,10.50,75.75,202.6,81.0
Hassan Whiteside,C-PF,8.25,10.25,82.5,226.6,91.0
Jeff Adrien,PF,-,-,77.25,236.2,86.0
Jeff Ayres,PF,-,-,80.75,239.6,85.0
Rodrigue Beaubois,PG,-,-,73.25,182.4,81.75
DeJuan Blair,PF,-,-,77.25,276.6,86.0
Derrick Brown,SF-PF,-,-,79.5,224.6,86.5
Chase Budinger,SF-SG,-,-,78.25,206.4,79.0
DeMarre Carroll,PF-SF,-,-,78.25,207.2,82.0
Omri Casspi,SF,-,-,79.75,211.2,81.25
Dionte Christmas,SG,-,-,76.25,210.8,81.0
Earl Clark,SF-PF,-,-,80.5,228.4,86.5
Darren Collison,PG,-,-,72.25,166.2,75.0
Dante Cunningham,PF,-,-,79.0,227.4,83.0
Stephen Curry,PG-SG,-,-,74.0,181.0,75.5
Austin Daye,SF-PF,-,-,81.75,191.8,86.75
DeMar DeRozan,SG-SF,-,-,77.5,211.2,81.0
Toney Douglas,PG,-,-,73.0,183.4,78.0
Wayne Ellington,SG,-,-,76.25,202.4,78.5
Tyreke Evans,PG-SG,-,-,76.0,220.6,83.25
Jonny Flynn,PG,-,-,71.25,195.6,76.0
Taj Gibson,PF,-,-,80.5,214.4,88.0
Danny Green,SG-SF,-,-,77.25,208.0,82.0
Blake Griffin,PF,-,-,80.5,248.4,83.25
Tyler Hansbrough,PF,-,-,80.25,234.2,83.5
James Harden,SG,-,-,76.0,222.0,82.75
Gerald Henderson,SG-SF,-,-,76.0,214.6,82.25
Josh Heytvelt,PF-C,-,-,82.0,246.2,85.25
Jordan Hill,PF-C,-,-,81.25,232.4,85.5
Jrue Holiday,PG-SG,-,-,75.25,199.0,79.0
Joe Ingles,SF,-,-,79.75,209.2,82.25
James Johnson,SF-PF,-,-,79.0,257.2,84.75
Ty Lawson,PG,-,-,71.25,196.6,72.75
Eric Maynor,PG,-,-,74.25,163.6,74.5
Jack McClinton,SG-PG,-,-,71.75,185.2,74.5
Jerel McNeal,SG,-,-,73.5,190.4,79.25
Jodie Meeks,SG,-,-,75.0,211.4,76.5
Patty Mills,PG,-,-,71.25,175.4,74.0
Byron Mullens,C,-,-,83.75,258.2,85.5
A.J. Price,PG,-,-,72.5,192.8,75.75
Tyler Smith,SF,-,-,77.25,212.0,81.75
DaJuan Summers,SF,-,-,79.25,243.0,84.75
Jermaine Taylor,SG,-,-,75.5,207.4,80.75
Jeff Teague,PG,-,-,72.25,175.2,79.5
Hasheem Thabeet,C,-,-,85.25,267.2,90.25
Marcus Thornton,SG,-,-,74.75,194.4,77.0
Terrence Williams,SG-SF,-,-,77.0,213.2,81.0
Sam Young,SF-SG,-,-,77.25,222.8,82.75
Joe Alexander,SF-PF,-,-,79.25,220.0,83.5
Darrell Arthur,PF,-,-,79.5,216.0,82.75
D.J. Augustin,PG,-,-,70.0,171.5,75.5
Jerryd Bayless,PG-SG,-,-,73.75,204.0,75.5
Michael Beasley,PF-SF,-,-,79.0,239.0,84.25
Ramel Bradley,PG-SG,-,-,73.25,184.0,77.0
Tyrone Brazelton,PG,-,-,70.0,166.0,73.75
Takais Brown,PF,-,-,79.25,252.0,82.0
Keith Brumbaugh,SF-PF,-,-,79.5,190.0,79.25
Stanley Burrell,PG,-,-,73.5,201.0,78.25
Brian Butch,C-PF,-,-,81.5,229.6,83.25
Jamar Butler,PG,-,-,72.25,182.0,76.75
Pat Calathes,SF-PF,-,-,80.75,204.0,81.75
Joe Crawford,SG,-,-,75.0,213.0,77.75
Chris Daniels,C-PF,-,-,80.25,256.0,84.5
Joey Dorsey,PF-C,-,-,78.25,265.0,85.75
Marcus Dove,SF-PF,-,-,78.75,208.0,83.5
Josh Duncan,PF,-,-,80.0,230.0,83.5
Frank Elegar,PF,-,-,79.25,210.0,87.25
Patrick Ewing Jr.,SF-PF,-,-,78.0,224.0,84.25
Gary Forbes,SG,-,-,76.5,220.5,83.25
Shan Foster,SG,-,-,76.0,194.5,83.5
J.R. Giddens,SG,-,-,76.0,208.0,83.25
James Gist,PF,-,-,79.0,220.0,88.0
Vladimir Golubovic,C,-,-,83.25,258.0,86.5
Eric Gordon,SG,-,-,74.0,222.0,81.0
Kentrell Gransberry,C,-,-,78.75,290.0,82.25
Donte Greene,SF-PF,-,-,80.25,221.0,82.0
Malik Hairston,SG,-,-,76.25,204.0,81.0
DeVon Hardin,C-PF,-,-,81.5,235.0,87.0
Richard Hendrix,PF,-,-,78.75,250.0,87.0
George Hill,PG,-,-,73.25,181.0,81.0
Kyle Hines,SF-PF,-,-,75.75,234.0,85.25
Jiri Hubalek,C-PF,-,-,81.5,226.0,82.75
Lester Hudson,PG,-,-,71.75,196.0,80.75
Othello Hunter,PF-SF,-,-,78.5,220.0,87.0
Darnell Jackson,PF,-,-,79.0,240.5,83.25
Shawn James,PF,-,-,79.75,217.0,89.0
Davon Jefferson,SF,-,-,77.25,213.0,81.5
Joseph Jones,PF,-,-,79.0,240.0,84.25
DeAndre Jordan,C,-,-,81.75,250.0,90.0
Sasha Kaun,C-PF,-,-,81.0,247.0,88.0
Marcelus Kemp,SG,-,-,75.0,221.0,80.5
Maarty Leunen,SF,-,-,79.25,222.0,80.0
Longar Longar,C,-,-,81.0,212.5,85.25
Brook Lopez,C,-,-,83.25,258.0,89.5
Kevin Love,PF,-,-,79.75,255.0,83.25
Aleks Maric,C,-,-,81.75,273.0,85.0
O.J. Mayo,SG-PG,-,-,75.25,200.0,78.0
James Mays,PF,-,-,78.75,227.0,85.75
JaVale McGee,C-PF,-,-,83.0,241.0,90.0
Drew Neitzel,PG,-,-,71.75,175.5,74.5
DeMarcus Nelson,PG-SG,-,-,73.0,198.0,82.0
David Padgett,C-PF,-,-,82.25,239.5,85.0
Jeremy Pargo,PG,-,-,72.5,208.0,77.0
Trent Plaisted,PF,-,-,81.25,240.0,82.5
Quan Prowell,SF-PF,-,-,78.75,225.5,82.5
Shaun Pruitt,C-PF,-,-,80.25,242.2,85.0
Anthony Randolph,PF-SF,-,-,81.0,197.0,87.0
Charles Rhodes,PF,-,-,79.25,244.0,83.25
Brian Roberts,PG,-,-,72.25,173.0,73.25
Russell Robinson,PG,-,-,72.5,196.0,80.0
Richard Roby,SG-SF,-,-,76.25,203.0,81.75
Derrick Rose,PG,-,-,73.5,196.0,80.0
Sean Singletary,PG,-,-,71.0,183.8,76.5
Ronald Steele,PG,-,-,72.25,183.5,76.25
Bryce Taylor,SG,-,-,74.75,210.0,81.0
Mike Taylor,SG-PG,-,-,72.75,166.2,79.25
Mark Tyndale,SG-SF,-,-,74.75,217.0,83.0
Robert Vaden,SG,-,-,75.5,199.0,80.0
Deron Washington,SF,-,-,77.25,198.5,81.0
Sonny Weems,SG-SF,-,-,76.0,193.0,82.0
Russell Westbrook,PG,-,-,74.25,192.0,79.75
Reggie Williams,SG,-,-,75.25,199.0,81.25
Mohamed Abukar,SF,-,-,80.0,210.0,81.0
Mario Boggan,PF,-,-,77.0,240.0,86.0
Craig Bradshaw,PF,-,-,80.0,240.0,85.5
Corey Brewer,SF-SG,-,-,78.0,185.0,80.25
Aaron Brooks,PG,-,-,70.0,161.0,76.0
Bobby Brown,PG,-,-,71.0,170.0,76.0
Russell Carter,SG,-,-,75.0,221.0,80.5
Coleman Collins,PF,-,-,80.0,236.0,86.0
Mike Conley,PG,-,-,71.0,175.0,77.75
Daequan Cook,SG,-,-,75.0,203.0,80.25
Ryvon Covile,C-PF,-,-,79.0,250.0,85.25
Javaris Crittenton,PG,-,-,75.0,194.0,77.5
Jermareo Davidson,PF,-,-,81.0,230.0,88.0
Justin Doellman,PF,-,-,80.0,205.0,80.75
Zabian Dowdell,PG,-,-,73.0,191.0,82.0
Jared Dudley,SF,-,-,77.0,219.0,79.0
Kevin Durant,SF-PF,-,-,81.0,215.0,88.75
Rashaun Freeman,PF,-,-,78.0,244.0,83.5
Aaron Gray,C,-,-,84.0,271.0,87.25
Jeff Green,SF,-,-,79.0,228.0,85.25
Taurean Green,PG,-,-,71.0,173.0,74.25
Caleb Green,PF,-,-,78.0,238.0,83.75
Spencer Hawes,PF,-,-,82.0,244.0,84.5
Brandon Heath,PG,-,-,74.0,181.0,79.0
Herbert Hill,C,-,-,79.0,232.0,86.25
Al Horford,PF,-,-,80.0,246.0,84.75
Quinton Hosley,SF-SG,-,-,77.0,215.0,83.25
James Hughes,C,-,-,81.0,209.0,87.0
Jeremy Hunt,SG,-,-,74.0,198.0,80.25
Ekene Ibekwe,PF,-,-,80.0,208.0,90.0
Dominic James,PG,-,-,70.0,175.0,74.0
Trey Johnson,SG,-,-,75.0,216.0,77.0
Rashad Jones-Jennings,PF,-,-,78.0,235.0,84.0
Jared Jordan,PG,-,-,72.0,183.0,72.0
Coby Karl,SG-PG,-,-,75.0,204.0,83.0
Antanas Kavaliauskas,PF,-,-,81.0,237.0,82.5
Carl Landry,PF,-,-,79.0,248.0,83.0
Stephane Lasme,PF,-,-,77.0,213.0,86.0
Acie Law,PG,-,-,74.0,186.0,78.5
Marko Lekic,C,-,-,81.0,267.0,85.0
Ron Lewis,SG,-,-,74.0,194.0,78.5
Cartier Martin,SF,-,-,76.0,218.0,82.0
Dominic McGuire,SF,-,-,79.0,220.0,82.5
Josh McRoberts,PF,-,-,80.0,240.0,85.0
Sammy Mejia,SG,-,-,77.0,218.0,83.0
Brad Newley,SG,-,-,77.0,201.0,80.0
Demetris Nichols,SF,-,-,78.0,211.0,84.25
Joakim Noah,PF,-,-,82.0,223.0,85.25
Greg Oden,C,-,-,83.0,257.0,88.25
Ivan Radenovic,PF,-,-,81.0,226.0,83.75
JR Reynolds,PG,-,-,72.0,188.0,75.25
Chris Richard,PF,-,-,79.0,252.0,88.5
Dustin Salisbery,SG,-,-,75.0,208.0,80.0
Blake Schilb,SG,-,-,77.0,214.0,81.0
Renaldas Seibutis,SG,-,-,76.0,185.0,80.75
Ramon Sessions,PG,-,-,74.0,185.0,76.25
Mustafa Shakur,PG,-,-,75.0,185.0,77.5
Jason Smith,PF,-,-,82.75,233.0,82.75
DJ Strawberry,SG,-,-,75.75,199.0,78.5
Rodney Stuckey,SG-PG,-,-,75.75,207.0,79.25
Curtis Sumpter,SF,-,-,78.0,227.0,81.5
Yue Sun,SF,-,-,79.75,212.0,81.0
Jamaal Tatum,PG,-,-,71.5,168.0,74.5
Reyshawn Terry,SF,-,-,78.75,222.0,82.0
Al Thornton,SF,-,-,77.75,221.0,85.0
Anthony Tolliver,PF,-,-,79.0,242.0,86.5
Ali Traore,C-PF,-,-,80.75,249.0,88.0
Kyle Visser,C,-,-,82.0,242.0,83.0
Darryl Watkins,C,-,-,80.75,241.0,87.0
Major Wingate,C,-,-,80.5,242.0,88.0
DaShaun Wood,PG,-,-,70.75,167.0,72.75
Julian Wright,SF-PF,-,-,78.5,211.0,86.25
Brandan Wright,PF,-,-,80.75,200.0,87.75
Avis Wyatt,PF,-,-,80.75,212.0,85.0
Thaddeus Young,SF,-,-,77.75,210.0,83.5
Nick Young,SG-SF,-,-,77.0,206.0,84.0
Kenny Adeleke,PF-C,-,-,78.5,250.0,82.25
Maurice Ager,SG-PG,-,-,75.25,203.0,79.75
LaMarcus Aldridge,PF-C,-,-,82.0,234.0,88.75
Morris Almond,SG-SF,-,-,76.75,214.0,82.0
Lou Amundson,PF,-,-,79.2,221.0,83.5
Rashad Anderson,SG,-,-,75.25,224.0,79.0
Hilton Armstrong,C-PF,-,-,81.5,240.0,88.0
James Augustine,PF,-,-,80.25,227.0,84.25
Renaldo Balkman,SF-PF,-,-,77.25,206.0,85.0
J.P. Batista,PF,-,-,79.5,265.0,82.0
Will Blalock,PG,-,-,71.25,194.0,78.0
Brandon Bowman,SF,-,-,78.75,209.0,83.5
Ronnie Brewer,SG-PG,-,-,77.75,223.0,83.25
Denham Brown,SG-SF,-,-,76.0,218.0,81.5
Brad Buckman,PF,-,-,79.25,238.0,84.0
Nik Caner-Medley,SF,-,-,78.5,234.0,81.0
Rodney Carney,SG-SF,-,-,76.5,204.0,82.0
Keydren Clark,PG,-,-,69.0,184.0,74.5
Mardy Collins,PG-SG,-,-,76.25,224.0,82.0
Taquan Dean,SG-PG,-,-,74.0,183.0,78.75
Terence Dials,PF-C,-,-,79.75,253.0,84.0
Sean Dockery,PG-SG,-,-,72.75,182.0,76.5
Jordan Farmar,PG,-,-,72.75,171.0,75.0
Randy Foye,SG-PG,-,-,74.25,212.0,78.25
Torin Francis,PF-C,-,-,81.0,247.0,85.0
Rudy Gay,SF-PF,-,-,79.0,222.0,87.0
Nick George,SF-SG,-,-,76.0,201.0,82.0
Taj Gray,PF-SF,-,-,79.25,231.0,84.75
Dan Grunfeld,SF-SG,-,-,76.75,216.0,78.25
Matt Haryasz,PF-C,-,-,81.75,219.0,84.25
Eric Hicks,PF,-,-,76.75,238.0,85.5
Tedric Hill,SF-PF,-,-,79.75,236.0,85.0
Daniel Horton,PG-SG,-,-,72.5,198.0,79.0
Solomon Jones,PF-C,-,-,80.5,224.0,88.75
Bobby Jones,SF-SG,-,-,77.75,211.0,81.5
Viktor Keyru,SG-PG,-,-,77.25,202.0,81.25
Marco Killingsworth,PF,-,-,77.5,266.0,87.0
Tarence Kinsey,SF-SG,-,-,76.75,179.0,78.75
Carl Krauser,PG,-,-,71.75,190.0,78.25
Chris McCray,SG,-,-,75.0,187.0,77.75
Gerry McNamara,PG-SG,-,-,71.75,177.0,72.75
Pops Mensah-Bonsu,PF-C,-,-,79.5,232.0,84.0
Paul Miller,PF-C,-,-,80.5,251.0,84.0
Paul Millsap,PF,-,-,78.25,258.0,85.5
Dwayne Mitchell,SG-SF,-,-,74.0,208.0,78.5
Adam Morrison,SF,-,-,78.5,198.0,82.0
Yemi Nicholson,PF-C,-,-,79.75,258.0,88.25
David Noel,SF-SG,-,-,76.5,223.0,81.5
Steve Novak,SF,-,-,80.0,216.0,81.5
Patrick O'Bryant,C,-,-,83.0,249.0,89.75
Danilo Pinnock,PG-SG,-,-,74.75,204.0,79.5
