Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%▼,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
136,Malcolm Brogdon,PG,27,IND,54,54,1666,326,744,0.43799999999999994,75,230,0.326,251,514,0.488,0.489,166,186,0.892,46,216,262,381,35,10,131,98,893
137,Eric Gordon,SF,31,HOU,36,15,1016,171,463,0.369,96,303,0.317,75,160,0.469,0.473,82,107,0.7659999999999999,9,62,71,54,23,13,43,70,520
138,Shabazz Napier,PG,28,TOT,56,32,1344,188,456,0.41200000000000003,76,240,0.317,112,216,0.519,0.496,126,153,0.8240000000000001,26,132,158,262,69,11,128,101,578
139,Luka Dončić,PG,20,DAL,61,61,2047,581,1255,0.46299999999999997,171,541,0.316,410,714,0.574,0.531,426,562,0.758,78,495,573,538,62,14,260,153,1759
140,Kyle Kuzma,PF,24,LAL,61,9,1526,291,668,0.436,86,272,0.316,205,396,0.518,0.5,114,155,0.735,52,221,273,80,28,26,91,126,782
141,Nikola Jokić,C,24,DEN,73,73,2336,565,1071,0.528,80,255,0.314,485,816,0.594,0.565,246,301,0.8170000000000001,166,545,711,512,85,44,226,222,1456
142,Brook Lopez,C,31,MIL,68,67,1817,292,671,0.435,102,325,0.314,190,346,0.5489999999999999,0.511,127,152,0.836,58,254,312,99,46,163,70,163,813
143,Spencer Dinwiddie,PG,26,BRK,64,49,1994,424,1021,0.415,123,400,0.308,301,621,0.485,0.47600000000000003,347,446,0.778,32,189,221,432,40,21,174,180,1318
144,Aaron Gordon,PF,24,ORL,62,62,2017,335,767,0.43700000000000006,73,237,0.308,262,530,0.494,0.484,151,224,0.674,107,368,475,228,51,39,100,125,894
145,Giannis Antetokounmpo,PF,25,MIL,63,63,1917,685,1238,0.5529999999999999,89,293,0.304,596,945,0.631,0.589,398,629,0.633,140,716,856,354,61,66,230,195,1857
146,Jarrett Culver,SG,20,MIN,63,35,1506,230,569,0.40399999999999997,66,221,0.299,164,348,0.47100000000000003,0.462,54,117,0.462,70,142,212,110,57,38,81,125,580
147,Jordan Poole,SG,20,GSW,57,14,1274,167,502,0.33299999999999996,74,265,0.27899999999999997,93,237,0.392,0.406,95,119,0.7979999999999999,9,109,118,134,35,10,74,94,503
