Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%▼,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
105,Hassan Whiteside,C,30,POR,67,61,2008,436,702,0.621,4,7,0.5710000000000001,432,695,0.622,0.624,164,239,0.6859999999999999,258,647,905,78,26,196,120,196,1040
106,Cody Zeller,C,27,CHO,58,39,1341,251,479,0.524,18,75,0.24,233,404,0.5770000000000001,0.5429999999999999,122,179,0.682,160,251,411,88,40,25,75,140,642
107,Aaron Gordon,PF,24,ORL,62,62,2017,335,767,0.43700000000000006,73,237,0.308,262,530,0.494,0.484,151,224,0.674,107,368,475,228,51,39,100,125,894
108,Montrezl Harrell,C,26,LAC,63,2,1749,471,812,0.58,0,18,0.0,471,794,0.593,0.58,231,351,0.6579999999999999,163,282,445,107,39,72,108,146,1173
109,Jaxson Hayes,C,19,NOP,64,14,1080,174,259,0.672,1,4,0.25,173,255,0.6779999999999999,0.674,123,190,0.647,97,162,259,56,26,55,53,161,472
110,Zion Williamson,PF,19,NOP,24,24,668,210,360,0.583,6,14,0.429,204,346,0.59,0.5920000000000001,114,178,0.64,64,86,150,50,16,9,59,42,540
111,Jarrett Allen,C,21,BRK,70,64,1852,302,465,0.649,0,6,0.0,302,459,0.6579999999999999,0.649,171,270,0.633,216,455,671,110,40,92,77,162,775
112,Giannis Antetokounmpo,PF,25,MIL,63,63,1917,685,1238,0.5529999999999999,89,293,0.304,596,945,0.631,0.589,398,629,0.633,140,716,856,354,61,66,230,195,1857
113,Rudy Gobert,C,27,UTA,68,68,2333,386,557,0.693,0,0,,386,557,0.693,0.693,254,403,0.63,230,686,916,101,51,135,130,215,1026
114,Ben Simmons,PG,23,PHI,57,57,2017,375,647,0.58,2,7,0.28600000000000003,373,640,0.583,0.581,185,298,0.621,113,331,444,455,119,33,200,186,937
115,RJ Barrett,SG,19,NYK,56,55,1704,292,727,0.402,63,197,0.32,229,530,0.43200000000000005,0.445,156,254,0.614,50,229,279,143,55,17,124,122,803
116,Steven Adams,C,26,OKC,63,63,1680,283,478,0.5920000000000001,1,3,0.33299999999999996,282,475,0.594,0.593,117,201,0.5820000000000001,207,376,583,146,51,67,94,122,684
117,Andre Drummond,C,26,TOT,57,56,1879,418,784,0.5329999999999999,5,35,0.14300000000000002,413,749,0.551,0.536,169,294,0.575,250,614,864,152,109,93,203,201,1010
118,Dwight Howard,C,34,LAL,69,2,1306,202,277,0.7290000000000001,3,5,0.6,199,272,0.732,0.735,110,214,0.514,172,335,507,45,31,79,84,222,517
